Fecha;Unidad;COD_CCAA;CCAA;Cod_Provincia;Provincia;TOTAL_CAMAS;OCUPADAS_COVID19;OCUPADAS_NO_COVID19;INGRESOS_COVID19;ALTAS_24h_COVID19
2020-08-05;U. Críticas CON respirador;18;CEUTA;51;Ceuta;17;0;3;0;0
2020-08-05;U. Críticas SIN respirador;09;CATALUÑA;17;Girona;0;0;0;0;0
2020-08-06;Hospitalización convencional;17;LA RIOJA;26;Rioja, La;674;3;412;1;1
2020-08-06;U. Críticas CON respirador;11;EXTREMADURA;06;Badajoz;123;3;32;0;1
2020-08-06;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;13;Ciudad Real;6;0;2;0;0
2020-08-07;Hospitalización convencional;05;ISLAS CANARIAS;38;Santa Cruz de Tenerife;2566;29;1731;3;3
2020-08-07;Hospitalización convencional;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;1324;1;633;0;0
2020-08-07;U. Críticas CON respirador;16;PAÍS VASCO;01;Araba/Álava;51;0;18;0;2
2020-08-07;U. Críticas CON respirador;17;LA RIOJA;26;Rioja, La;43;0;17;0;0
2020-08-08;Hospitalización convencional;07;CASTILLA Y LEÓN;09;Burgos;854;14;433;3;2
2020-08-08;Hospitalización convencional;08;CASTILLA LA MANCHA;02;Albacete;876;7;498;0;2
2020-08-08;U. Críticas CON respirador;07;CASTILLA Y LEÓN;24;León;65;1;29;0;0
2020-08-08;U. Críticas CON respirador;16;PAÍS VASCO;20;Gipuzkoa;85;0;31;0;0
2020-08-08;U. Críticas SIN respirador;01;ANDALUCÍA;41;Sevilla;101;0;33;0;0
2020-08-08;U. Críticas SIN respirador;02;ARAGÓN;22;Huesca;0;0;0;0;0
2020-08-08;U. Críticas SIN respirador;03;ASTURIAS;33;Asturias;44;0;3;0;0
2020-08-08;U. Críticas SIN respirador;14;MURCIA;30;Murcia;160;1;14;0;0
2020-08-09;Hospitalización convencional;09;CATALUÑA;17;Girona;2047;34;1383;5;2
2020-08-09;Hospitalización convencional;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;1303;1;683;0;0
2020-08-09;Hospitalización convencional;12;GALICIA;27;Lugo;1124;3;569;0;1
2020-08-09;Hospitalización convencional;16;PAÍS VASCO;01;Araba/Álava;505;42;378;2;2
2020-08-01;Hospitalización convencional;11;EXTREMADURA;10;Cáceres;956;7;548;0;0
2020-08-01;Hospitalización convencional;12;GALICIA;32;Ourense;945;4;709;2;11
2020-08-01;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;40;Segovia;4;0;0;0;0
2020-08-02;Hospitalización convencional;07;CASTILLA Y LEÓN;34;Palencia;336;1;255;0;0
2020-08-02;Hospitalización convencional;16;PAÍS VASCO;48;Bizkaia;1776;99;1264;18;5
2020-08-02;U. Críticas CON respirador;02;ARAGÓN;44;Teruel;8;0;3;0;0
2020-08-02;U. Críticas CON respirador;07;CASTILLA Y LEÓN;24;León;65;1;21;1;0
2020-08-02;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;64;0;34;0;0
2020-08-02;U. Críticas SIN respirador;01;ANDALUCÍA;41;Sevilla;85;0;20;0;0
2020-08-02;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;24;León;0;0;0;0;0
2020-08-03;Hospitalización convencional;01;ANDALUCÍA;04;Almería;1303;29;639;5;1
2020-08-03;Hospitalización convencional;02;ARAGÓN;50;Zaragoza;2749;340;1415;52;37
2020-08-03;Hospitalización convencional;19;MELILLA;52;Melilla;165;0;76;0;0
2020-08-03;U. Críticas CON respirador;07;CASTILLA Y LEÓN;37;Salamanca;34;1;18;1;1
2020-08-03;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;46;Valencia/València;418;7;161;2;1
2020-08-03;U. Críticas SIN respirador;01;ANDALUCÍA;29;Málaga;123;0;14;0;0
2020-08-03;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;46;Valencia/València;147;1;8;0;0
2020-08-04;Hospitalización convencional;01;ANDALUCÍA;41;Sevilla;3113;5;2181;0;34
2020-08-04;U. Críticas CON respirador;07;CASTILLA Y LEÓN;40;Segovia;18;0;6;0;0
2020-08-04;U. Críticas SIN respirador;05;ISLAS CANARIAS;35;Palmas, Las;48;1;14;1;0
2020-08-04;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;34;Palencia;0;0;0;0;0
2020-08-04;U. Críticas SIN respirador;12;GALICIA;36;Pontevedra;53;0;2;0;0
2020-08-05;Hospitalización convencional;07;CASTILLA Y LEÓN;05;Ávila;377;1;247;0;0
2020-08-05;Hospitalización convencional;10;COMUNIDAD VALENCIANA;46;Valencia/València;4886;103;3016;26;5
2020-08-05;U. Críticas CON respirador;08;CASTILLA LA MANCHA;13;Ciudad Real;73;3;26;0;0
2020-08-05;U. Críticas CON respirador;08;CASTILLA LA MANCHA;45;Toledo;66;2;24;0;0
2020-08-05;U. Críticas CON respirador;09;CATALUÑA;25;Lleida;37;14;11;0;2
2020-08-05;U. Críticas CON respirador;14;MURCIA;30;Murcia;271;15;89;7;0
2020-08-05;U. Críticas SIN respirador;01;ANDALUCÍA;14;Córdoba;78;0;2;0;0
2020-08-05;U. Críticas SIN respirador;01;ANDALUCÍA;21;Huelva;33;1;4;1;0
2020-08-05;U. Críticas SIN respirador;19;MELILLA;52;Melilla;4;0;1;0;0
2020-08-06;Hospitalización convencional;09;CATALUÑA;08;Barcelona;16750;671;12413;71;67
2020-08-06;Hospitalización convencional;09;CATALUÑA;17;Girona;2049;32;1462;4;3
2020-08-06;U. Críticas CON respirador;04;ISLAS BALEARES;07;Balears, Illes;210;10;83;1;0
2020-08-06;U. Críticas CON respirador;12;GALICIA;32;Ourense;51;0;11;0;0
2020-08-07;Hospitalización convencional;07;CASTILLA Y LEÓN;47;Valladolid;982;27;605;8;2
2020-08-07;Hospitalización convencional;17;LA RIOJA;26;Rioja, La;674;3;395;1;1
2020-08-07;U. Críticas SIN respirador;03;ASTURIAS;33;Asturias;44;0;3;0;0
2020-08-07;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;37;Salamanca;5;0;0;0;0
2020-08-08;Hospitalización convencional;11;EXTREMADURA;10;Cáceres;956;3;525;0;0
2020-08-08;Hospitalización convencional;16;PAÍS VASCO;20;Gipuzkoa;1213;23;836;5;4
2020-08-08;U. Críticas CON respirador;07;CASTILLA Y LEÓN;05;Ávila;10;0;3;0;0
2020-08-08;U. Críticas SIN respirador;01;ANDALUCÍA;04;Almería;42;0;4;0;0
2020-08-08;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;6;0;0;0;0
2020-08-08;U. Críticas SIN respirador;16;PAÍS VASCO;01;Araba/Álava;8;0;0;0;0
2020-08-09;Hospitalización convencional;02;ARAGÓN;22;Huesca;497;56;268;3;1
2020-08-09;Hospitalización convencional;08;CASTILLA LA MANCHA;02;Albacete;881;8;545;1;1
2020-08-09;Hospitalización convencional;14;MURCIA;30;Murcia;3416;68;2041;23;1
2020-08-09;U. Críticas CON respirador;01;ANDALUCÍA;11;Cádiz;164;5;36;0;0
2020-08-09;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;09;Burgos;4;0;1;0;0
2020-08-10;Hospitalización convencional;02;ARAGÓN;50;Zaragoza;2927;407;1404;50;36
2020-08-10;Hospitalización convencional;07;CASTILLA Y LEÓN;24;León;1204;15;875;5;0
2020-08-10;Hospitalización convencional;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;1103;2;713;2;3
2020-08-01;Hospitalización convencional;08;CASTILLA LA MANCHA;02;Albacete;886;3;499;0;0
2020-08-01;Hospitalización convencional;11;EXTREMADURA;06;Badajoz;1925;11;932;5;0
2020-08-01;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;24;León;0;0;0;0;0
2020-08-01;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;02;Albacete;30;2;22;0;0
2020-08-02;Hospitalización convencional;07;CASTILLA Y LEÓN;40;Segovia;278;7;184;1;0
2020-08-02;Hospitalización convencional;08;CASTILLA LA MANCHA;16;Cuenca;372;3;191;1;0
2020-08-02;Hospitalización convencional;10;COMUNIDAD VALENCIANA;03;Alicante/Alacant;4067;51;2279;23;0
2020-08-02;U. Críticas CON respirador;02;ARAGÓN;22;Huesca;25;7;6;0;0
2020-08-02;U. Críticas SIN respirador;06;CANTABRIA;39;Cantabria;26;0;2;0;0
2020-08-02;U. Críticas SIN respirador;12;GALICIA;27;Lugo;6;0;0;0;0
2020-08-03;Hospitalización convencional;08;CASTILLA LA MANCHA;02;Albacete;887;5;541;1;0
2020-08-03;U. Críticas CON respirador;07;CASTILLA Y LEÓN;24;León;65;1;39;0;0
2020-08-03;U. Críticas CON respirador;08;CASTILLA LA MANCHA;19;Guadalajara;14;1;9;0;0
2020-08-03;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;64;0;27;0;0
2020-08-03;U. Críticas SIN respirador;01;ANDALUCÍA;41;Sevilla;101;0;40;0;0
2020-08-03;U. Críticas SIN respirador;05;ISLAS CANARIAS;35;Palmas, Las;48;0;22;0;0
2020-08-03;U. Críticas SIN respirador;11;EXTREMADURA;06;Badajoz;18;0;0;0;0
2020-08-04;Hospitalización convencional;01;ANDALUCÍA;14;Córdoba;1552;10;907;4;4
2020-08-04;U. Críticas CON respirador;01;ANDALUCÍA;23;Jaén;66;0;20;0;0
2020-08-04;U. Críticas CON respirador;03;ASTURIAS;33;Asturias;210;4;44;0;0
2020-08-04;U. Críticas CON respirador;07;CASTILLA Y LEÓN;49;Zamora;17;0;6;0;0
2020-08-04;U. Críticas CON respirador;08;CASTILLA LA MANCHA;02;Albacete;38;4;17;1;0
2020-08-04;U. Críticas CON respirador;08;CASTILLA LA MANCHA;13;Ciudad Real;74;3;26;0;0
2020-08-04;U. Críticas CON respirador;08;CASTILLA LA MANCHA;45;Toledo;66;2;26;0;1
2020-08-04;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;05;Ávila;5;0;0;0;0
2020-08-04;U. Críticas SIN respirador;12;GALICIA;15;Coruña, A;109;0;3;0;0
2020-08-04;U. Críticas SIN respirador;16;PAÍS VASCO;48;Bizkaia;11;0;10;0;0
2020-08-04;U. Críticas SIN respirador;19;MELILLA;52;Melilla;4;0;1;0;0
2020-08-05;Hospitalización convencional;05;ISLAS CANARIAS;35;Palmas, Las;2496;4;1803;1;0
2020-08-05;Hospitalización convencional;07;CASTILLA Y LEÓN;42;Soria;189;8;155;3;0
2020-08-05;U. Críticas CON respirador;02;ARAGÓN;50;Zaragoza;154;36;56;1;1
2020-08-05;U. Críticas CON respirador;07;CASTILLA Y LEÓN;05;Ávila;10;0;3;0;0
2020-08-05;U. Críticas CON respirador;11;EXTREMADURA;10;Cáceres;45;0;16;0;0
2020-08-05;U. Críticas CON respirador;12;GALICIA;27;Lugo;88;0;25;0;0
2020-08-05;U. Críticas SIN respirador;01;ANDALUCÍA;23;Jaén;65;0;8;0;2
2020-08-05;U. Críticas SIN respirador;02;ARAGÓN;44;Teruel;0;0;0;0;0
2020-08-06;Hospitalización convencional;07;CASTILLA Y LEÓN;05;Ávila;358;0;248;0;1
2020-08-06;U. Críticas CON respirador;01;ANDALUCÍA;23;Jaén;66;1;26;0;0
2020-08-06;U. Críticas CON respirador;08;CASTILLA LA MANCHA;13;Ciudad Real;73;3;23;0;0
2020-08-06;U. Críticas CON respirador;08;CASTILLA LA MANCHA;45;Toledo;66;2;25;0;0
2020-08-06;U. Críticas CON respirador;09;CATALUÑA;25;Lleida;37;14;14;0;0
2020-08-06;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;45;Toledo;20;0;5;0;0
2020-08-06;U. Críticas SIN respirador;16;PAÍS VASCO;48;Bizkaia;10;0;9;0;0
2020-08-07;Hospitalización convencional;01;ANDALUCÍA;11;Cádiz;2376;11;1331;4;3
2020-08-07;Hospitalización convencional;11;EXTREMADURA;10;Cáceres;956;3;525;0;0
2020-08-07;Hospitalización convencional;12;GALICIA;36;Pontevedra;2248;10;1248;7;0
2020-08-07;Hospitalización convencional;16;PAÍS VASCO;20;Gipuzkoa;1213;23;836;5;4
2020-08-07;U. Críticas SIN respirador;02;ARAGÓN;44;Teruel;0;0;0;0;0
2020-08-07;U. Críticas SIN respirador;05;ISLAS CANARIAS;38;Santa Cruz de Tenerife;21;0;7;0;0
2020-08-08;Hospitalización convencional;09;CATALUÑA;25;Lleida;971;77;671;9;22
2020-08-08;Hospitalización convencional;15;NAVARRA;31;Navarra;1632;31;903;4;5
2020-08-08;U. Críticas CON respirador;13;MADRID;28;Madrid;851;63;389;8;2
2020-08-08;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;45;Toledo;20;0;5;0;0
2020-08-01;Hospitalización convencional;01;ANDALUCÍA;04;Almería;1303;20;582;3;0
2020-08-01;Hospitalización convencional;02;ARAGÓN;44;Teruel;393;37;180;6;2
2020-08-01;Hospitalización convencional;02;ARAGÓN;50;Zaragoza;2905;264;1520;58;30
2020-08-01;Hospitalización convencional;09;CATALUÑA;17;Girona;2105;33;1468;3;3
2020-08-01;U. Críticas CON respirador;06;CANTABRIA;39;Cantabria;89;0;43;0;1
2020-08-01;U. Críticas CON respirador;12;GALICIA;15;Coruña, A;211;0;72;0;0
2020-08-01;U. Críticas SIN respirador;01;ANDALUCÍA;18;Granada;38;0;18;0;0
2020-08-01;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;16;Cuenca;11;0;0;0;0
2020-08-01;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;19;Guadalajara;30;0;0;0;0
2020-08-01;U. Críticas SIN respirador;11;EXTREMADURA;10;Cáceres;21;0;1;0;0
2020-08-01;U. Críticas SIN respirador;12;GALICIA;32;Ourense;33;0;14;0;0
2020-08-01;U. Críticas SIN respirador;16;PAÍS VASCO;20;Gipuzkoa;0;0;0;0;0
2020-08-02;Hospitalización convencional;01;ANDALUCÍA;23;Jaén;1164;17;536;7;0
2020-08-02;Hospitalización convencional;06;CANTABRIA;39;Cantabria;1444;24;949;9;0
2020-08-02;Hospitalización convencional;12;GALICIA;15;Coruña, A;3171;7;1990;4;0
2020-08-02;U. Críticas CON respirador;05;ISLAS CANARIAS;35;Palmas, Las;213;0;86;0;0
2020-08-02;U. Críticas CON respirador;05;ISLAS CANARIAS;38;Santa Cruz de Tenerife;176;1;82;0;0
2020-08-02;U. Críticas CON respirador;12;GALICIA;36;Pontevedra;173;1;49;0;0
2020-08-02;U. Críticas SIN respirador;11;EXTREMADURA;06;Badajoz;18;0;0;0;0
2020-08-02;U. Críticas SIN respirador;13;MADRID;28;Madrid;165;0;15;0;0
2020-08-03;Hospitalización convencional;08;CASTILLA LA MANCHA;19;Guadalajara;346;7;233;1;1
2020-08-03;U. Críticas CON respirador;02;ARAGÓN;22;Huesca;25;7;5;0;0
2020-08-03;U. Críticas CON respirador;15;NAVARRA;31;Navarra;98;3;43;0;0
2020-08-03;U. Críticas CON respirador;16;PAÍS VASCO;48;Bizkaia;152;6;66;0;0
2020-08-03;U. Críticas SIN respirador;01;ANDALUCÍA;04;Almería;42;0;4;0;0
2020-08-03;U. Críticas SIN respirador;04;ISLAS BALEARES;07;Balears, Illes;54;0;18;0;0
2020-08-03;U. Críticas SIN respirador;12;GALICIA;27;Lugo;6;0;2;0;0
2020-08-03;U. Críticas SIN respirador;18;CEUTA;51;Ceuta;0;0;0;0;0
2020-08-04;Hospitalización convencional;02;ARAGÓN;22;Huesca;525;43;299;8;5
2020-08-04;Hospitalización convencional;08;CASTILLA LA MANCHA;45;Toledo;1263;17;903;2;7
2020-08-04;Hospitalización convencional;11;EXTREMADURA;06;Badajoz;1945;6;1049;2;1
2020-08-04;Hospitalización convencional;13;MADRID;28;Madrid;13391;405;9234;69;51
2020-08-04;U. Críticas CON respirador;01;ANDALUCÍA;21;Huelva;43;0;19;0;0
2020-08-04;U. Críticas CON respirador;11;EXTREMADURA;10;Cáceres;45;0;23;0;0
2020-08-04;U. Críticas SIN respirador;01;ANDALUCÍA;23;Jaén;65;1;6;1;0
2020-08-04;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;24;León;0;0;0;0;0
2020-08-05;Hospitalización convencional;04;ISLAS BALEARES;07;Balears, Illes;2901;87;1970;11;6
2020-08-05;Hospitalización convencional;15;NAVARRA;31;Navarra;1632;32;965;2;4
2020-08-05;Hospitalización convencional;18;CEUTA;51;Ceuta;149;0;56;0;0
2020-08-05;Hospitalización convencional;19;MELILLA;52;Melilla;165;1;82;1;0
2020-08-05;U. Críticas CON respirador;07;CASTILLA Y LEÓN;42;Soria;16;0;5;0;0
2020-08-05;U. Críticas CON respirador;07;CASTILLA Y LEÓN;49;Zamora;17;0;7;0;0
2020-08-05;U. Críticas SIN respirador;06;CANTABRIA;39;Cantabria;26;0;3;0;0
2020-08-05;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;37;Salamanca;5;0;0;0;0
2020-08-05;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;49;Zamora;0;0;0;0;0
2020-08-05;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;46;Valencia/València;149;1;13;0;0
2020-08-06;U. Críticas CON respirador;07;CASTILLA Y LEÓN;05;Ávila;10;0;3;0;0
2020-08-06;U. Críticas CON respirador;07;CASTILLA Y LEÓN;40;Segovia;18;0;12;0;0
2020-08-06;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;03;Alicante/Alacant;277;11;110;0;0
2020-08-06;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;40;Segovia;4;0;0;0;0
2020-08-06;U. Críticas SIN respirador;09;CATALUÑA;08;Barcelona;183;11;108;2;3
2020-08-06;U. Críticas SIN respirador;09;CATALUÑA;17;Girona;0;0;0;0;0
2020-08-07;Hospitalización convencional;07;CASTILLA Y LEÓN;05;Ávila;359;0;219;0;0
2020-08-01;U. Críticas CON respirador;07;CASTILLA Y LEÓN;37;Salamanca;34;0;18;0;0
2020-08-01;U. Críticas CON respirador;12;GALICIA;27;Lugo;88;0;21;0;0
2020-08-02;U. Críticas CON respirador;01;ANDALUCÍA;23;Jaén;66;1;24;1;0
2020-08-02;U. Críticas CON respirador;09;CATALUÑA;08;Barcelona;666;68;318;5;1
2020-08-02;U. Críticas SIN respirador;03;ASTURIAS;33;Asturias;44;0;5;0;0
2020-08-02;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;49;Zamora;0;0;0;0;0
2020-08-03;Hospitalización convencional;07;CASTILLA Y LEÓN;37;Salamanca;614;17;509;0;2
2020-08-03;Hospitalización convencional;09;CATALUÑA;43;Tarragona;2323;28;1777;3;5
2020-08-03;Hospitalización convencional;10;COMUNIDAD VALENCIANA;46;Valencia/València;4882;75;3073;20;6
2020-08-04;Hospitalización convencional;07;CASTILLA Y LEÓN;40;Segovia;278;4;193;0;0
2020-08-04;Hospitalización convencional;09;CATALUÑA;08;Barcelona;16670;632;12633;65;78
2020-08-04;Hospitalización convencional;09;CATALUÑA;17;Girona;2105;38;1507;5;6
2020-08-04;Hospitalización convencional;09;CATALUÑA;43;Tarragona;2367;31;1794;7;2
2020-08-04;U. Críticas CON respirador;12;GALICIA;15;Coruña, A;211;1;88;0;0
2020-08-04;U. Críticas SIN respirador;05;ISLAS CANARIAS;38;Santa Cruz de Tenerife;18;0;4;0;0
2020-08-04;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;19;Guadalajara;30;0;0;0;0
2020-08-04;U. Críticas SIN respirador;11;EXTREMADURA;10;Cáceres;21;0;2;0;0
2020-08-04;U. Críticas SIN respirador;12;GALICIA;32;Ourense;33;0;13;0;0
2020-08-05;Hospitalización convencional;01;ANDALUCÍA;11;Cádiz;2326;15;1491;5;4
2020-08-05;Hospitalización convencional;01;ANDALUCÍA;41;Sevilla;3113;6;2014;0;14
2020-08-05;Hospitalización convencional;09;CATALUÑA;17;Girona;2106;30;1497;6;12
2020-08-05;Hospitalización convencional;09;CATALUÑA;25;Lleida;989;103;677;6;14
2020-08-05;Hospitalización convencional;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;1303;1;758;0;2
2020-08-05;Hospitalización convencional;12;GALICIA;27;Lugo;1124;4;603;1;0
2020-08-05;U. Críticas CON respirador;06;CANTABRIA;39;Cantabria;89;1;34;0;0
2020-08-05;U. Críticas CON respirador;08;CASTILLA LA MANCHA;19;Guadalajara;14;0;9;0;0
2020-08-05;U. Críticas CON respirador;12;GALICIA;36;Pontevedra;173;1;62;0;0
2020-08-05;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;42;Soria;0;0;0;0;0
2020-08-05;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;02;Albacete;30;1;20;0;1
2020-08-05;U. Críticas SIN respirador;11;EXTREMADURA;10;Cáceres;21;0;2;0;0
2020-08-05;U. Críticas SIN respirador;14;MURCIA;30;Murcia;160;0;22;0;0
2020-08-06;Hospitalización convencional;01;ANDALUCÍA;29;Málaga;2671;25;1959;5;0
2020-08-06;U. Críticas CON respirador;16;PAÍS VASCO;20;Gipuzkoa;85;0;40;0;0
2020-08-06;U. Críticas SIN respirador;01;ANDALUCÍA;04;Almería;42;0;5;0;0
2020-08-06;U. Críticas SIN respirador;04;ISLAS BALEARES;07;Balears, Illes;54;0;17;0;0
2020-08-06;U. Críticas SIN respirador;09;CATALUÑA;43;Tarragona;18;0;10;0;0
2020-08-06;U. Críticas SIN respirador;19;MELILLA;52;Melilla;4;0;2;0;0
2020-08-07;Hospitalización convencional;01;ANDALUCÍA;29;Málaga;2671;26;1842;9;5
2020-08-07;U. Críticas CON respirador;02;ARAGÓN;44;Teruel;8;0;5;0;0
2020-08-07;U. Críticas CON respirador;04;ISLAS BALEARES;07;Balears, Illes;220;10;87;1;0
2020-08-07;U. Críticas CON respirador;08;CASTILLA LA MANCHA;02;Albacete;38;4;14;0;0
2020-08-07;U. Críticas SIN respirador;09;CATALUÑA;43;Tarragona;14;0;11;0;0
2020-08-08;Hospitalización convencional;01;ANDALUCÍA;21;Huelva;894;3;478;0;0
2020-08-08;Hospitalización convencional;02;ARAGÓN;22;Huesca;525;52;254;8;5
2020-08-08;Hospitalización convencional;02;ARAGÓN;50;Zaragoza;2933;374;1417;53;46
2020-08-08;U. Críticas CON respirador;02;ARAGÓN;44;Teruel;8;0;5;0;0
2020-08-08;U. Críticas CON respirador;07;CASTILLA Y LEÓN;49;Zamora;17;1;3;1;0
2020-08-08;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;05;Ávila;5;0;0;0;0
2020-08-08;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;16;Cuenca;11;0;0;0;0
2020-08-09;Hospitalización convencional;01;ANDALUCÍA;14;Córdoba;1452;11;742;1;0
2020-08-09;Hospitalización convencional;01;ANDALUCÍA;21;Huelva;874;4;506;1;1
2020-08-09;U. Críticas CON respirador;07;CASTILLA Y LEÓN;49;Zamora;17;0;6;0;1
2020-08-09;U. Críticas CON respirador;08;CASTILLA LA MANCHA;19;Guadalajara;14;2;8;1;0
2020-08-09;U. Críticas CON respirador;17;LA RIOJA;26;Rioja, La;43;0;11;0;0
2020-08-09;U. Críticas SIN respirador;12;GALICIA;27;Lugo;6;0;0;0;0
2020-08-09;U. Críticas SIN respirador;12;GALICIA;32;Ourense;33;0;7;0;0
2020-08-09;U. Críticas SIN respirador;18;CEUTA;51;Ceuta;0;0;0;0;0
2020-08-10;Hospitalización convencional;08;CASTILLA LA MANCHA;02;Albacete;881;10;554;6;3
2020-08-10;Hospitalización convencional;08;CASTILLA LA MANCHA;45;Toledo;1263;12;928;3;2
2020-08-10;U. Críticas CON respirador;01;ANDALUCÍA;04;Almería;84;13;23;1;0
2020-08-10;U. Críticas CON respirador;02;ARAGÓN;44;Teruel;8;3;2;0;0
2020-08-10;U. Críticas CON respirador;02;ARAGÓN;50;Zaragoza;150;42;45;5;3
2020-08-10;U. Críticas SIN respirador;01;ANDALUCÍA;41;Sevilla;101;0;38;0;0
2020-08-10;U. Críticas SIN respirador;02;ARAGÓN;22;Huesca;0;0;0;0;0
2020-08-10;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;09;Burgos;4;0;1;0;0
2020-08-10;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;34;Palencia;0;0;0;0;0
2020-08-10;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;42;Soria;0;0;0;0;0
