Fecha,Andalucía,Aragón,Asturias,Baleares,Canarias,Cantabria,Castilla La Mancha,Castilla y León,Cataluña,Ceuta,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,País Vasco,La Rioja,España
2020-03-15,11,10,1,3,2,0,29,12,41,0,14,2,2,299,0,0,2,36,4,468
2020-03-16,16,14,1,3,3,0,41,23,60,0,18,4,3,408,0,0,3,41,6,644
2020-03-17,24,14,1,4,4,1,61,30,83,0,20,6,5,515,0,0,4,52,6,830
2020-03-18,29,17,1,4,4,2,84,43,120,0,34,8,5,629,0,0,7,71,6,1064
2020-03-19,44,23,3,5,7,2,108,62,169,0,43,11,6,782,0,0,9,87,10,1371
2020-03-20,58,28,6,6,10,3,146,82,232,0,62,14,11,991,0,1,14,103,22,1789
2020-03-21,76,32,11,11,10,6,194,120,306,0,84,18,16,1225,0,1,18,124,31,2283
2020-03-22,104,43,21,14,14,8,249,157,394,0,113,24,20,1451,0,3,27,145,31,2818
2020-03-23,133,54,25,17,18,12,332,212,520,0,136,34,25,1718,0,3,36,162,40,3477
2020-03-24,169,64,28,22,23,17,416,269,642,0,166,51,32,1999,0,7,46,187,46,4184
2020-03-25,199,88,28,25,29,19,520,331,795,0,199,62,39,2281,1,11,58,222,59,4966
2020-03-26,244,107,38,28,38,24,632,404,951,0,236,78,48,2570,1,19,75,248,68,5809
2020-03-27,292,117,43,35,48,28,724,466,1125,1,284,100,59,2897,1,25,87,280,74,6686
2020-03-28,319,132,46,41,53,33,828,529,1289,1,328,116,78,3170,1,31,109,316,80,7500
2020-03-29,359,151,58,47,58,36,895,617,1465,1,363,132,89,3412,1,40,122,355,87,8288
2020-03-30,411,182,65,54,62,51,981,698,1663,1,417,155,117,3645,1,43,137,396,97,9176
2020-03-31,458,209,74,62,69,61,1072,774,1841,1,476,172,136,3891,1,49,152,438,110,10046
2020-04-01,501,238,75,69,76,66,1163,867,2020,1,520,192,159,4154,1,52,163,481,116,10914
2020-04-02,554,260,79,78,83,72,1238,936,2180,1,569,213,183,4400,2,59,176,514,131,11728
2020-04-03,597,289,82,83,88,75,1314,1002,2340,2,622,230,210,4580,2,66,194,564,147,12487
2020-04-04,648,309,86,89,91,80,1408,1091,2489,2,667,241,228,4719,2,71,201,615,158,13195
2020-04-05,688,338,92,91,93,88,1477,1169,2622,3,708,255,255,4904,2,84,220,661,169,13919
2020-04-06,730,374,100,93,96,96,1548,1235,2774,4,744,273,271,5092,2,89,236,712,183,14652
2020-04-07,768,405,106,101,96,100,1608,1304,2919,4,802,283,299,5262,2,93,256,759,198,15365
2020-04-08,822,429,112,111,100,104,1698,1372,3071,4,833,297,311,5434,2,99,268,798,213,16078
2020-04-09,854,452,128,116,101,107,1765,1454,3223,4,861,314,333,5553,2,101,285,847,220,16720
2020-04-10,900,484,133,124,101,118,1819,1517,3354,4,893,327,364,5707,2,104,298,885,229,17363
2020-04-11,922,517,149,129,103,121,1875,1590,3473,4,931,333,376,5846,2,108,317,927,233,17956
2020-04-12,955,537,156,131,103,128,1919,1653,3589,4,961,344,389,5969,2,112,328,959,238,18477
2020-04-13,976,559,164,135,106,132,1973,1709,3702,4,996,353,402,6109,2,114,350,1004,250,19040
2020-04-14,1009,588,172,143,108,138,2039,1769,3820,4,1028,361,418,6241,2,117,361,1036,261,19615
2020-04-15,1035,604,176,151,114,144,2097,1824,3929,4,1061,373,430,6370,2,117,376,1065,269,20141
2020-04-16,1060,621,186,157,117,149,2143,1873,4030,4,1088,380,441,6479,2,119,386,1092,277,20604
2020-04-17,1086,640,190,165,120,155,2194,1921,4139,4,1111,383,453,6586,2,123,400,1123,285,21080
2020-04-18,1104,657,197,168,121,160,2238,1969,4231,4,1122,390,472,6678,2,124,414,1149,290,21490
2020-04-19,1123,667,199,171,122,164,2281,2006,4318,4,1137,395,478,6777,2,126,425,1172,298,21865
2020-04-20,1151,680,203,172,123,169,2324,2048,4386,4,1153,402,488,6875,2,126,430,1187,301,22224
2020-04-21,1173,705,211,175,126,172,2357,2089,4461,4,1171,409,502,6974,2,128,440,1215,306,22620
2020-04-22,1188,717,222,177,129,176,2387,2120,4529,4,1188,415,510,7057,2,129,448,1229,311,22938
2020-04-23,1211,729,228,179,132,179,2414,2169,4581,4,1200,417,516,7133,2,130,456,1245,313,23238
2020-04-24,1222,743,235,180,136,183,2445,2207,4643,4,1211,429,529,7213,2,131,462,1258,318,23551
2020-04-25,1235,753,243,185,136,187,2473,2242,4706,4,1222,435,537,7277,2,132,468,1273,321,23831
2020-04-26,1248,762,248,187,137,190,2500,2271,4774,4,1235,441,543,7335,2,134,471,1282,326,24090
2020-04-27,1259,772,252,189,138,191,2525,2303,4832,4,1249,447,552,7389,2,134,477,1295,330,24340
2020-04-28,1269,779,259,195,139,192,2549,2331,4897,4,1270,451,554,7435,2,134,483,1313,331,24587
2020-04-29,1278,793,263,198,140,192,2578,2354,4955,4,1276,458,557,7490,2,134,485,1321,333,24811
2020-04-30,1284,798,264,202,141,193,2595,2386,5006,4,1284,460,565,7544,2,136,488,1331,334,25017
2020-05-01,1290,799,270,203,143,195,2607,2403,5053,4,1295,463,569,7584,2,137,493,1343,334,25187
2020-05-02,1298,805,270,203,144,197,2623,2435,5098,4,1303,465,575,7631,2,140,496,1354,335,25378
2020-05-03,1306,811,274,204,145,198,2639,2453,5152,4,1313,465,581,7672,2,140,502,1366,336,25563
2020-05-04,1318,821,275,205,145,200,2656,2473,5196,4,1319,465,585,7718,2,140,503,1378,337,25740
2020-05-05,1327,826,278,206,146,200,2677,2494,5241,4,1327,470,591,7753,2,141,507,1387,338,25915
2020-05-06,1332,831,279,206,150,202,2695,2512,5273,4,1337,474,594,7789,2,141,510,1392,339,26062
2020-05-07,1339,841,280,210,150,202,2705,2526,5315,4,1342,478,595,7830,2,142,514,1402,343,26220
2020-05-08,1341,844,280,210,151,203,2722,2545,5345,4,1349,482,599,7870,2,142,515,1411,345,26360
2020-05-09,1348,850,283,210,151,203,2736,2554,5365,4,1357,484,600,7911,2,142,516,1418,347,26481
2020-05-10,1352,853,288,214,151,203,2753,2569,5388,4,1362,484,600,7931,2,142,520,1423,348,26587
2020-05-11,1357,857,291,216,152,204,2766,2575,5419,4,1369,488,601,7960,2,142,522,1431,349,26705
2020-05-12,1360,861,293,216,152,204,2777,2593,5436,4,1373,493,602,7991,2,143,523,1439,349,26811
2020-05-13,1367,866,294,217,152,204,2789,2601,5450,4,1379,495,605,8016,2,143,525,1440,349,26898
2020-05-14,1375,868,299,218,152,205,2797,2606,5467,4,1387,496,605,8041,2,144,525,1443,349,26983
2020-05-15,1379,872,300,219,152,205,2804,2612,5484,4,1389,498,606,8060,2,144,525,1448,350,27053
2020-05-16,1382,873,300,219,154,206,2810,2616,5496,4,1392,498,607,8075,2,144,525,1456,352,27111
2020-05-17,1384,876,303,219,156,206,2813,2624,5505,4,1394,500,608,8089,2,145,525,1458,353,27164
2020-05-18,1388,877,305,221,157,206,2817,2630,5512,4,1398,504,608,8112,2,145,525,1464,354,27229
2020-05-19,1390,879,307,221,157,206,2826,2633,5525,4,1400,505,609,8130,2,145,525,1468,357,27289
2020-05-20,1390,881,309,222,157,206,2830,2638,5539,4,1402,506,609,8147,2,145,527,1472,357,27343
2020-05-21,1393,882,310,222,157,206,2842,2645,5550,4,1406,507,611,8159,2,146,527,1476,360,27405
2020-05-22,1399,882,310,222,157,207,2852,2651,5564,4,1409,507,612,8174,2,146,527,1483,361,27469
2020-05-23,1401,883,311,223,157,207,2858,2656,5578,4,1410,507,613,8195,2,146,527,1486,362,27526
2020-05-24,1405,883,311,223,157,207,2861,2661,5586,4,1410,509,614,8214,2,146,527,1495,362,27577
2020-05-25,1408,886,311,223,158,207,2867,2668,5597,4,1412,510,614,8231,2,146,527,1498,362,27631
2020-05-26,1411,887,312,224,159,207,2868,2676,5602,4,1414,511,615,8245,2,146,527,1501,362,27673
2020-05-27,1411,889,313,224,160,207,2870,2684,5610,4,1416,512,615,8252,2,146,528,1503,362,27708
2020-05-28,1413,891,313,224,160,207,2873,2689,5617,4,1418,512,615,8259,2,146,528,1507,362,27740
2020-05-29,1413,892,313,224,160,207,2875,2696,5625,4,1419,513,616,8269,2,146,528,1513,362,27777
2020-05-30,1415,892,320,224,160,207,2880,2704,5632,4,1419,514,616,8273,2,146,528,1517,363,27816
2020-05-31,1415,894,321,224,160,207,2883,2712,5638,4,1419,515,616,8282,2,146,528,1519,363,27848
2020-06-01,1415,897,321,224,160,207,2886,2717,5639,4,1419,515,617,8291,2,146,528,1522,363,27873
2020-06-02,1415,899,321,224,161,207,2889,2723,5642,4,1421,516,618,8301,2,146,528,1527,363,27907
2020-06-03,1416,899,322,224,161,207,2890,2727,5646,4,1423,517,618,8307,2,146,528,1529,364,27930
2020-06-04,1416,901,324,224,161,207,2892,2734,5652,4,1424,517,618,8315,2,146,528,1534,364,27963
2020-06-05,1416,902,326,224,161,207,2892,2736,5654,4,1424,517,618,8319,2,146,528,1538,365,27979
2020-06-06,1418,903,328,224,161,207,2892,2740,5654,4,1424,517,618,8327,2,146,528,1542,365,28000
2020-06-07,1418,903,329,224,161,207,2892,2747,5654,4,1424,517,618,8330,2,146,528,1544,365,28013
2020-06-08,1418,903,329,224,161,207,2893,2754,5657,4,1424,517,618,8334,2,147,528,1546,365,28031
2020-06-09,1418,903,330,224,161,207,2893,2756,5657,4,1425,517,618,8339,2,147,528,1547,365,28041
2020-06-10,1420,904,331,224,162,207,2894,2761,5659,4,1425,518,619,8346,2,147,528,1550,365,28066
2020-06-11,1420,904,332,224,162,207,2894,2765,5659,4,1426,518,619,8352,2,147,528,1552,365,28080
2020-06-12,1421,904,332,224,162,207,2894,2768,5660,4,1426,518,619,8355,2,147,528,1552,365,28088
2020-06-13,1421,904,332,224,162,207,2895,2771,5662,4,1426,518,619,8356,2,147,528,1554,365,28097
2020-06-14,1421,904,332,224,162,207,2896,2772,5664,4,1427,518,619,8360,2,147,528,1554,365,28106
2020-06-15,1421,904,332,224,162,207,2897,2775,5666,4,1428,518,619,8363,2,147,528,1554,365,28116
2020-06-16,1421,905,333,224,162,207,2897,2775,5666,4,1428,518,619,8367,2,147,528,1554,365,28122
2020-06-17,1423,906,333,224,162,207,2897,2776,5666,4,1428,518,619,8368,2,147,528,1554,365,28127
2020-06-18,1423,907,333,224,162,208,2898,2776,5666,4,1428,518,619,8368,2,147,528,1555,365,28131
2020-06-19,1423,907,333,224,162,208,2898,2778,5666,4,1428,518,619,8370,2,147,528,1555,365,28135
2020-06-20,1423,907,333,224,162,208,2898,2780,5666,4,1428,518,619,8371,2,147,528,1555,365,28138
2020-06-21,1423,907,334,224,162,208,2898,2782,5667,4,1429,518,619,8371,2,147,528,1555,365,28143
2020-06-22,1423,907,334,224,162,208,2898,2782,5667,4,1429,518,619,8372,2,147,528,1555,365,28144
2020-06-23,1423,907,334,224,162,208,2899,2782,5668,4,1429,518,619,8373,2,147,528,1556,365,28148
2020-06-24,1423,907,334,224,162,208,2899,2782,5668,4,1429,518,619,8374,2,147,528,1556,365,28149
2020-06-25,1423,907,334,224,162,208,2899,2782,5670,4,1429,518,619,8376,2,147,528,1557,365,28154
2020-06-26,1424,907,334,224,162,208,2900,2783,5670,4,1429,518,619,8377,2,147,528,1557,366,28159
2020-06-27,1424,907,334,224,162,208,2900,2783,5670,4,1429,518,619,8378,2,147,528,1557,366,28160
2020-06-28,1424,908,334,224,162,208,2902,2784,5670,4,1429,518,619,8380,2,147,528,1558,366,28167
2020-06-29,1425,908,334,224,162,208,2903,2786,5671,4,1429,518,619,8380,2,147,528,1559,366,28173
2020-06-30,1425,908,334,224,162,208,2904,2786,5672,4,1429,518,619,8381,2,147,528,1559,366,28176
2020-07-01,1425,908,334,224,162,208,2905,2786,5673,4,1429,518,619,8383,2,147,528,1561,366,28182
2020-07-02,1425,908,334,224,162,208,2905,2786,5673,4,1429,518,619,8383,2,147,528,1561,366,28182
2020-07-03,1425,911,334,224,162,208,2905,2787,5674,4,1429,518,619,8383,2,147,528,1561,366,28187
2020-07-04,1425,911,334,224,162,208,2905,2788,5675,4,1429,518,619,8384,2,147,528,1561,366,28190
2020-07-05,1425,911,334,224,162,208,2905,2788,5675,4,1429,518,619,8384,2,147,528,1561,366,28190
2020-07-06,1426,913,334,224,162,208,2906,2789,5675,4,1429,518,619,8384,2,147,528,1561,366,28195
2020-07-07,1426,913,334,224,162,208,2906,2790,5675,4,1429,518,619,8385,2,147,528,1561,366,28197
2020-07-08,1427,914,334,224,162,208,2906,2791,5675,4,1429,518,619,8385,2,147,528,1561,366,28200
2020-07-09,1427,914,334,224,162,208,2906,2791,5676,4,1429,518,619,8386,2,147,528,1561,366,28202
2020-07-10,1427,914,334,224,162,208,2908,2792,5676,4,1429,518,619,8386,2,147,528,1561,366,28205
2020-07-11,1427,914,334,224,162,208,2908,2793,5677,4,1429,518,619,8386,2,147,528,1561,366,28207
2020-07-12,1427,914,334,224,162,208,2909,2793,5677,4,1429,518,619,8386,2,147,528,1562,366,28209
2020-07-13,1427,914,334,224,162,208,2909,2793,5677,4,1429,518,619,8387,2,147,528,1562,366,28210
2020-07-14,1428,914,334,224,162,208,2909,2793,5677,4,1429,518,619,8387,2,147,528,1563,366,28212
2020-07-15,1428,914,334,224,162,208,2911,2794,5677,4,1429,518,619,8388,2,147,529,1563,366,28217
2020-07-16,1428,914,334,224,162,208,2911,2794,5677,4,1429,518,619,8388,2,147,529,1563,366,28217
2020-07-17,1428,914,334,224,162,208,2911,2794,5678,4,1429,518,619,8388,2,147,529,1563,366,28218
2020-07-18,1428,914,334,224,162,208,2911,2794,5679,4,1429,518,619,8388,2,147,529,1564,366,28220
2020-07-19,1428,915,334,224,162,208,2911,2795,5679,4,1430,518,619,8389,2,147,529,1564,366,28224
2020-07-20,1428,916,334,224,162,208,2912,2795,5679,4,1430,518,619,8390,2,147,529,1564,366,28227
2020-07-21,1428,917,334,224,162,208,2912,2795,5681,4,1430,518,619,8391,2,147,529,1564,366,28231
2020-07-22,1428,917,334,224,162,208,2912,2795,5682,4,1430,518,619,8392,2,147,529,1564,366,28233
2020-07-23,1428,917,334,224,162,208,2912,2795,5683,4,1430,518,619,8392,2,147,529,1564,366,28234
2020-07-24,1429,917,334,224,162,208,2912,2796,5685,4,1430,518,619,8393,2,147,529,1564,366,28239
2020-07-25,1430,919,334,224,162,208,2912,2796,5688,4,1430,518,619,8393,2,147,529,1564,366,28245
2020-07-26,1430,921,334,224,162,208,2912,2796,5693,4,1430,518,619,8393,2,147,529,1564,366,28252
2020-07-27,1430,921,334,224,162,208,2913,2796,5699,4,1430,518,619,8393,2,147,529,1564,366,28259
2020-07-28,1430,929,334,224,162,208,2913,2796,5699,4,1433,518,619,8393,2,147,529,1564,366,28270
2020-07-29,1430,932,334,224,162,208,2913,2796,5699,4,1434,519,619,8393,2,147,529,1564,366,28275
2020-07-30,1430,935,334,224,162,208,2913,2796,5701,4,1434,519,619,8395,2,147,529,1565,366,28283
2020-07-31,1430,941,334,224,162,208,2914,2796,5702,4,1434,519,619,8396,2,147,529,1566,366,28293
2020-08-01,1430,943,334,224,162,208,2914,2797,5704,4,1434,519,619,8396,2,147,529,1567,366,28299
2020-08-02,1431,946,334,224,162,208,2915,2797,5705,4,1435,519,619,8399,2,147,529,1568,366,28310
2020-08-03,1432,952,334,224,162,208,2916,2798,5705,4,1435,519,619,8400,2,147,529,1568,366,28320
2020-08-04,1432,961,334,224,162,208,2916,2798,5705,4,1436,519,619,8401,2,147,529,1569,366,28332
2020-08-05,1433,965,334,224,162,208,2916,2798,5707,4,1436,519,619,8403,2,147,529,1569,366,28341
2020-08-06,1435,973,334,225,162,209,2918,2799,5711,4,1438,520,619,8403,2,147,529,1570,366,28364
2020-08-07,1436,982,334,225,163,209,2918,2799,5711,4,1438,520,620,8407,2,147,530,1571,366,28382
2020-08-08,1438,999,334,225,164,209,2919,2800,5711,4,1439,520,620,8411,2,147,530,1573,366,28411
2020-08-09,1438,1004,334,225,164,209,2919,2801,5714,4,1440,520,622,8412,2,147,530,1574,366,28425
2020-08-10,1438,1013,334,225,164,210,2919,2801,5716,4,1441,520,622,8417,2,147,531,1575,366,28445
2020-08-11,1439,1026,334,225,164,211,2920,2802,5717,4,1441,521,622,8421,2,147,531,1577,366,28470
2020-08-12,1440,1039,334,225,164,211,2921,2803,5717,4,1442,521,622,8425,2,147,532,1578,366,28493
2020-08-13,1441,1045,334,225,164,211,2921,2804,5720,4,1444,521,623,8432,2,147,532,1578,366,28514
2020-08-14,1441,1056,334,225,165,211,2921,2807,5723,4,1446,521,623,8441,2,147,532,1580,366,28545
2020-08-15,1445,1061,334,225,165,211,2921,2807,5728,4,1446,522,625,8449,2,149,532,1581,366,28573
2020-08-16,1447,1066,334,226,166,211,2922,2807,5730,4,1446,522,625,8457,2,149,532,1581,366,28593
2020-08-17,1450,1074,334,228,166,211,2922,2808,5735,4,1449,522,625,8463,2,149,532,1582,367,28623
2020-08-18,1452,1091,334,229,166,211,2922,2808,5738,4,1450,522,625,8472,2,149,532,1583,367,28657
2020-08-19,1454,1106,334,231,166,212,2922,2810,5741,4,1452,523,626,8479,2,149,532,1588,367,28698
2020-08-20,1455,1112,334,232,168,212,2923,2811,5747,4,1453,523,627,8488,2,150,532,1591,367,28731
2020-08-21,1456,1124,334,232,168,212,2924,2811,5749,4,1456,524,630,8496,2,150,532,1595,368,28767
2020-08-22,1458,1133,334,232,168,212,2926,2815,5750,4,1458,525,632,8505,2,150,533,1600,368,28805
2020-08-23,1463,1145,335,234,169,212,2926,2816,5753,4,1461,525,633,8519,2,150,533,1604,368,28852
2020-08-24,1469,1148,335,238,169,212,2927,2819,5760,4,1464,525,633,8533,2,151,533,1610,369,28901
2020-08-25,1470,1157,335,238,170,212,2929,2823,5762,4,1465,525,633,8543,2,152,533,1615,369,28937
2020-08-26,1475,1159,335,240,172,212,2931,2827,5763,4,1469,525,634,8555,2,152,533,1625,369,28982
2020-08-27,1478,1169,335,241,173,212,2931,2831,5766,4,1472,525,634,8569,2,152,533,1627,369,29023
2020-08-28,1482,1172,335,244,174,212,2932,2839,5770,5,1476,525,637,8588,2,152,533,1636,369,29083
2020-08-29,1487,1173,335,244,175,214,2933,2844,5773,5,1479,526,640,8597,2,152,534,1642,371,29126
2020-08-30,1493,1179,335,253,175,214,2936,2848,5776,5,1483,526,642,8609,2,152,534,1645,371,29178
2020-08-31,1500,1186,335,255,175,215,2938,2856,5779,5,1486,526,644,8629,2,152,535,1649,372,29239
2020-09-01,1505,1199,335,258,177,215,2940,2857,5784,5,1491,528,645,8640,2,152,536,1659,373,29301
2020-09-02,1516,1209,335,262,180,216,2942,2860,5787,5,1495,528,650,8661,2,152,536,1665,373,29374
2020-09-03,1520,1212,336,264,181,216,2943,2863,5790,5,1500,529,654,8686,3,152,536,1673,374,29437
2020-09-04,1529,1216,337,266,182,217,2946,2868,5791,5,1503,531,657,8707,3,152,539,1681,374,29504
2020-09-05,1539,1218,337,267,186,217,2949,2873,5795,5,1507,531,660,8716,3,152,539,1692,376,29562
2020-09-06,1549,1221,337,268,188,217,2950,2878,5797,5,1511,532,662,8731,3,153,540,1698,377,29617
2020-09-07,1554,1229,338,271,190,218,2955,2883,5798,6,1516,533,664,8752,3,153,540,1706,379,29688
2020-09-08,1561,1241,338,275,193,218,2958,2886,5802,6,1521,537,667,8772,3,154,540,1715,380,29767
2020-09-09,1577,1249,338,277,195,218,2959,2893,5810,7,1525,537,675,8787,3,154,541,1720,382,29847
2020-09-10,1588,1258,338,280,197,218,2962,2896,5816,7,1526,537,677,8811,3,155,542,1728,384,29923
2020-09-11,1602,1264,339,281,200,218,2971,2901,5820,8,1528,538,680,8834,3,156,543,1737,384,30007
2020-09-12,1613,1273,339,284,200,218,2979,2910,5822,9,1531,539,682,8867,4,157,546,1747,384,30104
2020-09-13,1627,1283,339,287,202,218,2987,2917,5823,9,1536,539,688,8896,4,157,548,1754,384,30198
2020-09-14,1644,1286,340,287,208,218,2990,2923,5831,9,1540,539,694,8918,4,157,549,1763,387,30287
2020-09-15,1659,1297,340,289,210,219,3001,2931,5835,9,1550,540,697,8948,4,158,550,1776,389,30402
2020-09-16,1670,1302,341,292,211,219,3010,2935,5839,9,1559,542,702,8976,4,158,552,1790,392,30503
2020-09-17,1680,1310,341,293,213,222,3014,2945,5843,9,1564,545,705,9007,4,158,555,1812,393,30613
2020-09-18,1689,1316,341,296,215,222,3020,2954,5848,9,1570,548,710,9043,4,158,558,1821,394,30716
2020-09-19,1698,1323,341,299,219,222,3025,2961,5851,10,1572,548,716,9085,4,158,560,1831,398,30821
2020-09-20,1710,1328,341,301,220,223,3031,2971,5852,10,1574,552,719,9118,4,158,561,1837,401,30911
2020-09-21,1723,1339,342,306,221,224,3037,2983,5856,10,1576,555,720,9152,4,158,566,1843,405,31020
2020-09-22,1740,1352,342,311,223,224,3041,2990,5859,10,1585,561,721,9189,4,159,567,1851,407,31136
2020-09-23,1753,1361,342,311,223,224,3045,3002,5864,10,1591,564,724,9224,4,159,567,1864,408,31240
2020-09-24,1762,1369,343,314,229,224,3054,3011,5866,10,1593,566,726,9266,4,159,568,1871,409,31344
2020-09-25,1778,1374,343,317,234,224,3058,3025,5869,10,1599,572,728,9302,5,159,570,1883,410,31460
2020-09-26,1787,1388,344,318,235,225,3064,3032,5871,10,1602,576,730,9345,5,159,572,1888,411,31562
2020-09-27,1808,1391,344,319,237,225,3072,3045,5875,10,1604,578,735,9377,5,159,576,1893,413,31666
2020-09-28,1831,1395,344,321,237,226,3093,3059,5880,10,1609,581,737,9421,5,159,578,1900,415,31801
2020-09-29,1845,1404,346,322,237,226,3099,3069,5883,10,1614,585,743,9466,5,159,581,1911,417,31922
2020-09-30,1858,1407,349,327,237,226,3105,3084,5888,10,1620,592,748,9514,5,159,585,1919,421,32054
2020-10-01,1882,1421,350,330,239,227,3111,3102,5892,10,1622,596,749,9541,5,159,590,1921,421,32168
2020-10-02,1903,1424,350,332,240,228,3123,3117,5895,10,1625,601,754,9582,5,161,594,1928,423,32295
2020-10-03,1915,1427,350,336,240,228,3130,3136,5902,11,1626,604,754,9612,5,161,595,1933,423,32388
2020-10-04,1929,1431,350,336,240,229,3133,3144,5907,11,1632,605,759,9633,5,161,597,1937,425,32464
2020-10-05,1938,1441,350,337,242,229,3142,3159,5911,11,1635,613,767,9674,5,161,602,1943,425,32585
2020-10-06,1949,1454,351,337,243,229,3149,3177,5920,11,1640,617,770,9713,6,161,605,1948,425,32705
2020-10-07,1964,1458,351,338,245,229,3165,3201,5925,11,1644,620,774,9748,6,162,610,1951,425,32827
2020-10-08,1977,1467,354,338,245,229,3170,3216,5928,11,1648,625,777,9782,6,163,616,1960,426,32938
2020-10-09,1994,1470,356,340,247,231,3177,3236,5930,12,1654,626,781,9822,8,163,620,1971,428,33066
2020-10-10,2012,1474,356,342,249,231,3182,3252,5933,12,1661,628,783,9853,8,164,622,1978,429,33169
2020-10-11,2028,1477,356,344,251,231,3190,3262,5935,12,1667,632,786,9878,8,164,624,1983,430,33258
2020-10-12,2045,1482,357,345,251,231,3196,3279,5941,12,1671,635,792,9903,9,164,628,1988,431,33360
2020-10-13,2057,1489,361,348,253,231,3204,3298,5943,12,1673,639,800,9935,9,165,630,1993,435,33475
2020-10-14,2076,1494,363,351,253,231,3210,3312,5944,12,1681,643,805,9971,9,165,638,1999,435,33592
2020-10-15,2091,1501,364,351,254,233,3214,3331,5951,12,1688,646,810,10000,10,165,643,2004,436,33704
2020-10-16,2109,1509,367,351,260,234,3215,3337,5953,12,1695,650,817,10027,10,166,650,2013,436,33811
2020-10-17,2126,1517,368,351,260,237,3218,3358,5954,13,1697,651,821,10033,10,168,654,2024,438,33898
2020-10-18,2145,1518,370,352,260,237,3220,3377,5959,13,1705,652,828,10057,10,168,656,2034,438,33999
2020-10-19,2163,1528,372,354,262,237,3221,3397,5960,13,1710,657,833,10090,11,168,662,2037,439,34114
2020-10-20,2180,1545,377,355,266,237,3224,3420,5961,13,1715,661,843,10127,11,169,670,2038,440,34252
2020-10-21,2205,1553,385,356,267,238,3231,3435,5963,13,1719,663,851,10158,11,170,673,2043,440,34374
2020-10-22,2231,1566,392,357,270,238,3236,3457,5964,13,1725,669,858,10190,11,171,676,2047,441,34512
2020-10-23,2250,1585,398,357,270,238,3238,3480,5965,13,1737,673,862,10224,11,172,681,2054,445,34653
2020-10-24,2271,1592,406,357,272,238,3242,3506,5966,13,1741,676,871,10236,11,173,683,2056,448,34758
