Fecha;Unidad;COD_CCAA;CCAA;Cod_Provincia;Provincia;TOTAL_CAMAS;OCUPADAS_COVID19;OCUPADAS_NO_COVID19
2020-08-19;U. Críticas CON respirador;05;ISLAS CANARIAS;38;Santa Cruz de Tenerife;176;3;81
2020-08-19;U. Críticas SIN respirador;05;ISLAS CANARIAS;35;Palmas, Las;48;0;24
2020-08-20;Hospitalización convencional;01;ANDALUCÍA;14;Córdoba;1552;26;843
2020-08-20;Hospitalización convencional;08;CASTILLA LA MANCHA;16;Cuenca;372;4;184
2020-08-20;Hospitalización convencional;08;CASTILLA LA MANCHA;19;Guadalajara;346;28;210
2020-08-20;U. Críticas CON respirador;08;CASTILLA LA MANCHA;02;Albacete;39;2;14
2020-08-20;U. Críticas CON respirador;15;NAVARRA;31;Navarra;97;8;42
2020-08-20;U. Críticas SIN respirador;16;PAÍS VASCO;48;Bizkaia;10;1;7
2020-08-20;U. Críticas SIN respirador;19;MELILLA;52;Melilla;4;0;0
2020-08-21;U. Críticas CON respirador;07;CASTILLA Y LEÓN;40;Segovia;18;2;4
2020-08-21;U. Críticas CON respirador;08;CASTILLA LA MANCHA;19;Guadalajara;18;0;7
2020-08-21;U. Críticas CON respirador;19;MELILLA;52;Melilla;8;0;6
2020-08-21;U. Críticas SIN respirador;01;ANDALUCÍA;23;Jaén;65;6;6
2020-08-21;U. Críticas SIN respirador;02;ARAGÓN;44;Teruel;0;0;0
2020-08-21;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;24;León;0;0;0
2020-08-21;U. Críticas SIN respirador;12;GALICIA;36;Pontevedra;53;0;2
2020-08-22;Hospitalización convencional;07;CASTILLA Y LEÓN;49;Zamora;367;15;265
2020-08-22;Hospitalización convencional;15;NAVARRA;31;Navarra;1625;39;873
2020-08-22;U. Críticas CON respirador;01;ANDALUCÍA;41;Sevilla;244;5;81
2020-08-22;U. Críticas CON respirador;07;CASTILLA Y LEÓN;42;Soria;16;0;1
2020-08-22;U. Críticas CON respirador;08;CASTILLA LA MANCHA;13;Ciudad Real;73;4;24
2020-08-22;U. Críticas CON respirador;08;CASTILLA LA MANCHA;45;Toledo;66;3;24
2020-08-22;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;45;Toledo;20;0;7
2020-08-22;U. Críticas SIN respirador;12;GALICIA;15;Coruña, A;109;0;3
2020-08-23;Hospitalización convencional;01;ANDALUCÍA;11;Cádiz;2392;38;1374
2020-08-23;U. Críticas CON respirador;07;CASTILLA Y LEÓN;05;Ávila;8;0;2
2020-08-23;U. Críticas CON respirador;07;CASTILLA Y LEÓN;40;Segovia;18;3;2
2020-08-23;U. Críticas CON respirador;19;MELILLA;52;Melilla;8;0;2
2020-08-23;U. Críticas SIN respirador;01;ANDALUCÍA;18;Granada;38;0;15
2020-08-24;Hospitalización convencional;06;CANTABRIA;39;Cantabria;1444;39;872
2020-08-24;Hospitalización convencional;07;CASTILLA Y LEÓN;05;Ávila;333;29;196
2020-08-24;Hospitalización convencional;07;CASTILLA Y LEÓN;47;Valladolid;931;82;613
2020-08-24;Hospitalización convencional;07;CASTILLA Y LEÓN;49;Zamora;366;19;262
2020-08-24;Hospitalización convencional;08;CASTILLA LA MANCHA;13;Ciudad Real;1273;26;691
2020-08-24;Hospitalización convencional;12;GALICIA;15;Coruña, A;3171;66;2002
2020-08-24;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;45;Toledo;20;0;6
2020-08-24;U. Críticas SIN respirador;09;CATALUÑA;25;Lleida;16;0;16
2020-08-25;Hospitalización convencional;11;EXTREMADURA;10;Cáceres;956;13;533
2020-08-25;U. Críticas CON respirador;07;CASTILLA Y LEÓN;05;Ávila;10;2;2
2020-08-25;U. Críticas SIN respirador;01;ANDALUCÍA;18;Granada;38;0;16
2020-08-25;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;16;Cuenca;11;0;0
2020-08-26;Hospitalización convencional;07;CASTILLA Y LEÓN;47;Valladolid;943;84;633
2020-08-26;Hospitalización convencional;12;GALICIA;15;Coruña, A;3171;74;2033
2020-08-26;U. Críticas CON respirador;08;CASTILLA LA MANCHA;19;Guadalajara;18;2;6
2020-08-27;Hospitalización convencional;01;ANDALUCÍA;04;Almería;1303;81;576
2020-08-27;Hospitalización convencional;01;ANDALUCÍA;29;Málaga;2626;142;1705
2020-08-27;Hospitalización convencional;07;CASTILLA Y LEÓN;40;Segovia;278;16;166
2020-08-27;Hospitalización convencional;10;COMUNIDAD VALENCIANA;03;Alicante/Alacant;4070;105;2128
2020-08-27;U. Críticas CON respirador;01;ANDALUCÍA;14;Córdoba;74;2;38
2020-08-27;U. Críticas CON respirador;07;CASTILLA Y LEÓN;37;Salamanca;56;4;20
2020-08-27;U. Críticas CON respirador;07;CASTILLA Y LEÓN;49;Zamora;17;2;5
2020-08-27;U. Críticas CON respirador;08;CASTILLA LA MANCHA;02;Albacete;34;3;11
2020-08-27;U. Críticas CON respirador;09;CATALUÑA;43;Tarragona;86;10;31
2020-08-27;U. Críticas CON respirador;15;NAVARRA;31;Navarra;99;9;34
2020-08-27;U. Críticas SIN respirador;01;ANDALUCÍA;18;Granada;38;0;16
2020-08-27;U. Críticas SIN respirador;01;ANDALUCÍA;21;Huelva;32;0;0
2020-08-27;U. Críticas SIN respirador;16;PAÍS VASCO;01;Araba/Álava;8;0;2
2020-08-28;Hospitalización convencional;14;MURCIA;30;Murcia;3028;150;1610
2020-08-28;U. Críticas CON respirador;09;CATALUÑA;08;Barcelona;658;105;310
2020-08-28;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;03;Alicante/Alacant;274;13;106
2020-08-29;Hospitalización convencional;01;ANDALUCÍA;04;Almería;1303;78;576
2020-08-19;Hospitalización convencional;09;CATALUÑA;08;Barcelona;16395;692;12237
2020-08-19;Hospitalización convencional;09;CATALUÑA;25;Lleida;958;60;506
2020-08-19;U. Críticas SIN respirador;05;ISLAS CANARIAS;38;Santa Cruz de Tenerife;19;0;13
2020-08-19;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;42;Soria;0;0;0
2020-08-19;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;49;Zamora;0;0;0
2020-08-19;U. Críticas SIN respirador;16;PAÍS VASCO;20;Gipuzkoa;0;0;0
2020-08-20;Hospitalización convencional;01;ANDALUCÍA;18;Granada;1835;30;1014
2020-08-20;Hospitalización convencional;09;CATALUÑA;25;Lleida;959;76;682
2020-08-20;Hospitalización convencional;17;LA RIOJA;26;Rioja, La;674;15;429
2020-08-20;U. Críticas CON respirador;16;PAÍS VASCO;20;Gipuzkoa;85;3;35
2020-08-20;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;02;Albacete;29;0;22
2020-08-20;U. Críticas SIN respirador;14;MURCIA;30;Murcia;143;1;18
2020-08-21;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;47;Valladolid;14;0;3
2020-08-21;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;13;Ciudad Real;6;0;3
2020-08-22;Hospitalización convencional;01;ANDALUCÍA;11;Cádiz;2376;38;1271
2020-08-22;Hospitalización convencional;07;CASTILLA Y LEÓN;24;León;1177;14;759
2020-08-22;Hospitalización convencional;07;CASTILLA Y LEÓN;40;Segovia;278;15;196
2020-08-22;Hospitalización convencional;12;GALICIA;27;Lugo;981;5;426
2020-08-22;U. Críticas CON respirador;12;GALICIA;15;Coruña, A;211;5;71
2020-08-22;U. Críticas SIN respirador;05;ISLAS CANARIAS;38;Santa Cruz de Tenerife;19;0;10
2020-08-22;U. Críticas SIN respirador;11;EXTREMADURA;10;Cáceres;21;1;3
2020-08-22;U. Críticas SIN respirador;17;LA RIOJA;26;Rioja, La;0;0;0
2020-08-23;Hospitalización convencional;07;CASTILLA Y LEÓN;09;Burgos;859;34;501
2020-08-23;Hospitalización convencional;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;1303;14;699
2020-08-23;Hospitalización convencional;12;GALICIA;27;Lugo;981;5;469
2020-08-23;U. Críticas CON respirador;06;CANTABRIA;39;Cantabria;89;2;36
2020-08-23;U. Críticas CON respirador;07;CASTILLA Y LEÓN;47;Valladolid;67;4;36
2020-08-23;U. Críticas CON respirador;07;CASTILLA Y LEÓN;49;Zamora;17;3;5
2020-08-23;U. Críticas CON respirador;12;GALICIA;15;Coruña, A;211;6;82
2020-08-23;U. Críticas CON respirador;12;GALICIA;36;Pontevedra;176;2;62
2020-08-23;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;34;Palencia;0;0;0
2020-08-23;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;02;Albacete;33;4;24
2020-08-23;U. Críticas SIN respirador;11;EXTREMADURA;06;Badajoz;18;0;0
2020-08-23;U. Críticas SIN respirador;17;LA RIOJA;26;Rioja, La;0;0;0
2020-08-24;Hospitalización convencional;01;ANDALUCÍA;41;Sevilla;3103;35;2019
2020-08-24;U. Críticas CON respirador;05;ISLAS CANARIAS;38;Santa Cruz de Tenerife;175;6;72
2020-08-24;U. Críticas CON respirador;08;CASTILLA LA MANCHA;02;Albacete;34;2;15
2020-08-24;U. Críticas CON respirador;15;NAVARRA;31;Navarra;97;9;40
2020-08-24;U. Críticas CON respirador;16;PAÍS VASCO;20;Gipuzkoa;85;10;37
2020-08-24;U. Críticas SIN respirador;01;ANDALUCÍA;04;Almería;42;0;8
2020-08-24;U. Críticas SIN respirador;19;MELILLA;52;Melilla;4;0;3
2020-08-25;Hospitalización convencional;02;ARAGÓN;22;Huesca;525;45;292
2020-08-25;Hospitalización convencional;08;CASTILLA LA MANCHA;45;Toledo;1263;68;865
2020-08-25;Hospitalización convencional;10;COMUNIDAD VALENCIANA;03;Alicante/Alacant;4076;102;2314
2020-08-25;U. Críticas CON respirador;01;ANDALUCÍA;14;Córdoba;74;2;38
2020-08-25;U. Críticas CON respirador;02;ARAGÓN;44;Teruel;8;2;3
2020-08-25;U. Críticas SIN respirador;04;ISLAS BALEARES;07;Balears, Illes;54;2;16
2020-08-25;U. Críticas SIN respirador;19;MELILLA;52;Melilla;4;0;3
2020-08-26;Hospitalización convencional;01;ANDALUCÍA;21;Huelva;874;7;501
2020-08-26;Hospitalización convencional;08;CASTILLA LA MANCHA;45;Toledo;1263;67;886
2020-08-26;U. Críticas CON respirador;01;ANDALUCÍA;04;Almería;84;16;13
2020-08-26;U. Críticas CON respirador;17;LA RIOJA;26;Rioja, La;43;3;13
2020-08-26;U. Críticas CON respirador;19;MELILLA;52;Melilla;8;1;2
2020-08-26;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;37;Salamanca;5;0;0
2020-08-26;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;46;Valencia/València;148;1;11
2020-08-27;Hospitalización convencional;01;ANDALUCÍA;14;Córdoba;1552;56;803
2020-08-27;Hospitalización convencional;01;ANDALUCÍA;21;Huelva;874;7;480
2020-08-27;U. Críticas CON respirador;11;EXTREMADURA;06;Badajoz;123;3;34
2020-08-27;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;40;Segovia;4;0;0
2020-08-27;U. Críticas SIN respirador;09;CATALUÑA;17;Girona;0;0;0
2020-08-27;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;6;0;0
2020-08-28;Hospitalización convencional;03;ASTURIAS;33;Asturias;3030;29;1788
2020-08-28;Hospitalización convencional;16;PAÍS VASCO;20;Gipuzkoa;1242;67;832
2020-08-19;Hospitalización convencional;12;GALICIA;32;Ourense;932;8;703
2020-08-19;U. Críticas CON respirador;01;ANDALUCÍA;14;Córdoba;74;3;39
2020-08-19;U. Críticas CON respirador;02;ARAGÓN;22;Huesca;25;6;3
2020-08-19;U. Críticas CON respirador;14;MURCIA;30;Murcia;271;23;86
2020-08-19;U. Críticas CON respirador;15;NAVARRA;31;Navarra;97;6;43
2020-08-19;U. Críticas CON respirador;16;PAÍS VASCO;48;Bizkaia;149;17;64
2020-08-19;U. Críticas SIN respirador;02;ARAGÓN;50;Zaragoza;15;0;8
2020-08-19;U. Críticas SIN respirador;16;PAÍS VASCO;01;Araba/Álava;8;0;0
2020-08-19;U. Críticas SIN respirador;19;MELILLA;52;Melilla;4;0;0
2020-08-20;Hospitalización convencional;05;ISLAS CANARIAS;35;Palmas, Las;2496;64;1729
2020-08-20;U. Críticas CON respirador;02;ARAGÓN;50;Zaragoza;134;51;48
2020-08-20;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;69;3;27
2020-08-20;U. Críticas CON respirador;18;CEUTA;51;Ceuta;7;0;0
2020-08-20;U. Críticas CON respirador;19;MELILLA;52;Melilla;8;0;5
2020-08-20;U. Críticas SIN respirador;02;ARAGÓN;44;Teruel;0;0;0
2020-08-21;Hospitalización convencional;01;ANDALUCÍA;21;Huelva;874;4;435
2020-08-21;Hospitalización convencional;04;ISLAS BALEARES;07;Balears, Illes;3091;181;1888
2020-08-21;Hospitalización convencional;15;NAVARRA;31;Navarra;1625;39;873
2020-08-21;Hospitalización convencional;19;MELILLA;52;Melilla;165;6;69
2020-08-21;U. Críticas CON respirador;01;ANDALUCÍA;41;Sevilla;244;5;83
2020-08-21;U. Críticas CON respirador;07;CASTILLA Y LEÓN;09;Burgos;45;5;15
2020-08-21;U. Críticas CON respirador;07;CASTILLA Y LEÓN;42;Soria;16;0;1
2020-08-21;U. Críticas SIN respirador;06;CANTABRIA;39;Cantabria;26;0;6
2020-08-21;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;05;Ávila;5;0;0
2020-08-22;Hospitalización convencional;01;ANDALUCÍA;23;Jaén;1164;24;486
2020-08-22;Hospitalización convencional;07;CASTILLA Y LEÓN;42;Soria;191;14;140
2020-08-22;U. Críticas CON respirador;09;CATALUÑA;17;Girona;53;4;37
2020-08-22;U. Críticas SIN respirador;09;CATALUÑA;17;Girona;0;0;0
2020-08-23;Hospitalización convencional;07;CASTILLA Y LEÓN;05;Ávila;332;26;206
2020-08-23;Hospitalización convencional;09;CATALUÑA;43;Tarragona;2388;48;1729
2020-08-23;U. Críticas CON respirador;08;CASTILLA LA MANCHA;45;Toledo;66;4;27
2020-08-23;U. Críticas CON respirador;09;CATALUÑA;25;Lleida;37;19;8
2020-08-23;U. Críticas SIN respirador;01;ANDALUCÍA;14;Córdoba;81;1;7
2020-08-23;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;13;Ciudad Real;6;0;3
2020-08-23;U. Críticas SIN respirador;08;CASTILLA LA MANCHA;45;Toledo;20;1;8
2020-08-23;U. Críticas SIN respirador;09;CATALUÑA;25;Lleida;16;0;12
2020-08-23;U. Críticas SIN respirador;15;NAVARRA;31;Navarra;12;0;0
2020-08-24;Hospitalización convencional;01;ANDALUCÍA;11;Cádiz;2392;42;1429
2020-08-24;U. Críticas CON respirador;08;CASTILLA LA MANCHA;16;Cuenca;30;2;5
2020-08-24;U. Críticas CON respirador;11;EXTREMADURA;10;Cáceres;45;3;18
2020-08-24;U. Críticas CON respirador;17;LA RIOJA;26;Rioja, La;43;2;9
2020-08-24;U. Críticas SIN respirador;01;ANDALUCÍA;18;Granada;38;0;16
2020-08-24;U. Críticas SIN respirador;02;ARAGÓN;44;Teruel;0;0;0
2020-08-24;U. Críticas SIN respirador;11;EXTREMADURA;10;Cáceres;21;0;2
2020-08-25;Hospitalización convencional;09;CATALUÑA;25;Lleida;978;62;713
2020-08-25;U. Críticas CON respirador;05;ISLAS CANARIAS;35;Palmas, Las;213;21;74
2020-08-25;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;42;Soria;0;0;0
2020-08-25;U. Críticas SIN respirador;11;EXTREMADURA;06;Badajoz;18;0;0
2020-08-25;U. Críticas SIN respirador;14;MURCIA;30;Murcia;143;0;11
2020-08-26;Hospitalización convencional;05;ISLAS CANARIAS;38;Santa Cruz de Tenerife;2560;32;1819
2020-08-26;Hospitalización convencional;08;CASTILLA LA MANCHA;16;Cuenca;372;9;141
2020-08-26;Hospitalización convencional;12;GALICIA;36;Pontevedra;2211;9;1372
2020-08-26;Hospitalización convencional;16;PAÍS VASCO;20;Gipuzkoa;1245;60;842
2020-08-26;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;40;Segovia;4;0;2
2020-08-26;U. Críticas SIN respirador;09;CATALUÑA;43;Tarragona;14;2;9
2020-08-26;U. Críticas SIN respirador;18;CEUTA;51;Ceuta;0;0;0
2020-08-27;Hospitalización convencional;05;ISLAS CANARIAS;35;Palmas, Las;2457;110;1571
2020-08-27;Hospitalización convencional;11;EXTREMADURA;06;Badajoz;1945;31;1011
2020-08-27;Hospitalización convencional;16;PAÍS VASCO;48;Bizkaia;1916;251;1160
2020-08-27;U. Críticas CON respirador;01;ANDALUCÍA;11;Cádiz;164;9;43
2020-08-27;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;69;7;34
2020-08-28;Hospitalización convencional;01;ANDALUCÍA;04;Almería;1303;76;546
2020-08-28;Hospitalización convencional;02;ARAGÓN;50;Zaragoza;2932;362;1427
2020-08-28;Hospitalización convencional;18;CEUTA;51;Ceuta;155;2;50
2020-08-28;U. Críticas CON respirador;07;CASTILLA Y LEÓN;47;Valladolid;69;4;29
2020-08-19;Hospitalización convencional;01;ANDALUCÍA;04;Almería;1303;67;550
2020-08-19;Hospitalización convencional;02;ARAGÓN;44;Teruel;392;40;183
2020-08-19;Hospitalización convencional;12;GALICIA;27;Lugo;981;5;459
2020-08-19;Hospitalización convencional;19;MELILLA;52;Melilla;165;6;66
2020-08-19;U. Críticas CON respirador;01;ANDALUCÍA;41;Sevilla;236;3;79
2020-08-19;U. Críticas CON respirador;06;CANTABRIA;39;Cantabria;89;3;35
2020-08-19;U. Críticas CON respirador;07;CASTILLA Y LEÓN;09;Burgos;45;6;20
2020-08-19;U. Críticas CON respirador;07;CASTILLA Y LEÓN;37;Salamanca;56;0;22
2020-08-19;U. Críticas CON respirador;12;GALICIA;15;Coruña, A;211;4;69
2020-08-19;U. Críticas SIN respirador;01;ANDALUCÍA;29;Málaga;117;0;9
2020-08-19;U. Críticas SIN respirador;12;GALICIA;32;Ourense;33;0;9
2020-08-19;U. Críticas SIN respirador;17;LA RIOJA;26;Rioja, La;0;0;0
2020-08-20;Hospitalización convencional;07;CASTILLA Y LEÓN;42;Soria;199;11;146
2020-08-20;U. Críticas CON respirador;05;ISLAS CANARIAS;38;Santa Cruz de Tenerife;176;4;77
2020-08-20;U. Críticas CON respirador;09;CATALUÑA;08;Barcelona;663;92;302
2020-08-20;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;03;Alicante/Alacant;276;8;91
2020-08-20;U. Críticas SIN respirador;13;MADRID;28;Madrid;165;0;11
2020-08-21;Hospitalización convencional;10;COMUNIDAD VALENCIANA;46;Valencia/València;4841;204;2843
2020-08-21;U. Críticas CON respirador;02;ARAGÓN;22;Huesca;25;8;3
2020-08-21;U. Críticas CON respirador;14;MURCIA;30;Murcia;244;19;82
2020-08-21;U. Críticas SIN respirador;15;NAVARRA;31;Navarra;6;0;0
2020-08-21;U. Críticas SIN respirador;16;PAÍS VASCO;48;Bizkaia;10;1;6
2020-08-21;U. Críticas SIN respirador;19;MELILLA;52;Melilla;4;0;0
2020-08-22;Hospitalización convencional;05;ISLAS CANARIAS;35;Palmas, Las;2496;74;1651
2020-08-22;Hospitalización convencional;07;CASTILLA Y LEÓN;34;Palencia;329;4;238
2020-08-22;U. Críticas CON respirador;02;ARAGÓN;44;Teruel;8;2;6
2020-08-22;U. Críticas CON respirador;04;ISLAS BALEARES;07;Balears, Illes;224;27;67
2020-08-22;U. Críticas CON respirador;12;GALICIA;27;Lugo;75;1;13
2020-08-22;U. Críticas CON respirador;17;LA RIOJA;26;Rioja, La;43;2;10
2020-08-22;U. Críticas CON respirador;18;CEUTA;51;Ceuta;7;0;0
2020-08-22;U. Críticas CON respirador;19;MELILLA;52;Melilla;8;0;6
2020-08-22;U. Críticas SIN respirador;02;ARAGÓN;44;Teruel;0;0;0
2020-08-23;Hospitalización convencional;15;NAVARRA;31;Navarra;1625;46;869
2020-08-23;Hospitalización convencional;17;LA RIOJA;26;Rioja, La;674;30;406
2020-08-23;U. Críticas SIN respirador;03;ASTURIAS;33;Asturias;44;0;6
2020-08-23;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;49;Zamora;0;0;0
2020-08-24;Hospitalización convencional;01;ANDALUCÍA;18;Granada;1835;36;1020
2020-08-24;Hospitalización convencional;12;GALICIA;36;Pontevedra;2242;7;1338
2020-08-24;Hospitalización convencional;16;PAÍS VASCO;20;Gipuzkoa;1243;43;906
2020-08-24;U. Críticas CON respirador;07;CASTILLA Y LEÓN;40;Segovia;18;3;2
2020-08-24;U. Críticas CON respirador;09;CATALUÑA;43;Tarragona;96;9;29
2020-08-24;U. Críticas CON respirador;16;PAÍS VASCO;01;Araba/Álava;43;13;14
2020-08-24;U. Críticas SIN respirador;01;ANDALUCÍA;11;Cádiz;50;3;11
2020-08-24;U. Críticas SIN respirador;07;CASTILLA Y LEÓN;40;Segovia;4;0;0
2020-08-24;U. Críticas SIN respirador;09;CATALUÑA;08;Barcelona;183;16;110
2020-08-24;U. Críticas SIN respirador;09;CATALUÑA;17;Girona;0;0;0
2020-08-24;U. Críticas SIN respirador;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;6;0;0
2020-08-25;Hospitalización convencional;09;CATALUÑA;43;Tarragona;2394;63;1726
2020-08-25;U. Críticas CON respirador;10;COMUNIDAD VALENCIANA;12;Castellón/Castelló;69;4;33
2020-08-25;U. Críticas SIN respirador;01;ANDALUCÍA;41;Sevilla;101;0;46
2020-08-26;Hospitalización convencional;01;ANDALUCÍA;11;Cádiz;2392;48;1486
